  260,20160101,    0
  260,20160102,    3
  260,20160103,   20
  260,20160104,    0
  260,20160105,    0
  260,20160106,    0
  260,20160107,    0
  260,20160108,   59
  260,20160109,    5
  260,20160110,   29
  260,20160111,    0
  260,20160112,   18
  260,20160113,   16
  260,20160114,    0
  260,20160115,    4
  260,20160116,   29
  260,20160117,   60
  260,20160118,   69
  260,20160119,   22
  260,20160120,    8
  260,20160121,    5
  260,20160122,   43
  260,20160123,   41
  260,20160124,    0
  260,20160125,   48
  260,20160126,   25
  260,20160127,    0
  260,20160128,   72
  260,20160129,    0
  260,20160130,    0
  260,20160131,    6
  260,20160201,    0
  260,20160202,   22
  260,20160203,   51
  260,20160204,    3
  260,20160205,    3
  260,20160206,    0
  260,20160207,   36
  260,20160208,   35
  260,20160209,    0
  260,20160210,   28
  260,20160211,   67
  260,20160212,   36
  260,20160213,   37
  260,20160214,    0
  260,20160215,   55
  260,20160216,   86
  260,20160217,   84
  260,20160218,    2
  260,20160219,   51
  260,20160220,    0
  260,20160221,    0
  260,20160222,    0
  260,20160223,   60
  260,20160224,   60
  260,20160225,   51
  260,20160226,   17
  260,20160227,   95
  260,20160228,   85
  260,20160229,   85
  260,20160301,    0
  260,20160302,   36
  260,20160303,   74
  260,20160304,    5
  260,20160305,   37
  260,20160306,   25
  260,20160307,   46
  260,20160308,   52
  260,20160309,   44
  260,20160310,   88
  260,20160311,   95
  260,20160312,  103
  260,20160313,  100
  260,20160314,  102
  260,20160315,   17
  260,20160316,   95
  260,20160317,  102
  260,20160318,    0
  260,20160319,    0
  260,20160320,   23
  260,20160321,    0
  260,20160322,    9
  260,20160323,   28
  260,20160324,    0
  260,20160325,   17
  260,20160326,  102
  260,20160327,   36
  260,20160328,   62
  260,20160329,   38
  260,20160330,   80
  260,20160331,   15
  260,20160401,  104
  260,20160402,   14
  260,20160403,   61
  260,20160404,   51
  260,20160405,   20
  260,20160406,   21
  260,20160407,   57
  260,20160408,   24
  260,20160409,   83
  260,20160410,  106
  260,20160411,  127
  260,20160412,   67
  260,20160413,   80
  260,20160414,   77
  260,20160415,   16
  260,20160416,   51
  260,20160417,   84
  260,20160418,   67
  260,20160419,   87
  260,20160420,  114
  260,20160421,  127
  260,20160422,   46
  260,20160423,   74
  260,20160424,   94
  260,20160425,   17
  260,20160426,   41
  260,20160427,   69
  260,20160428,   97
  260,20160429,   14
  260,20160430,   58
  260,20160501,  119
  260,20160502,  105
  260,20160503,  127
  260,20160504,  102
  260,20160505,  138
  260,20160506,  140
  260,20160507,  142
  260,20160508,  142
  260,20160509,  131
  260,20160510,    9
  260,20160511,   83
  260,20160512,  137
  260,20160513,  135
  260,20160514,   62
  260,20160515,   73
  260,20160516,   42
  260,20160517,   67
  260,20160518,   30
  260,20160519,   10
  260,20160520,   10
  260,20160521,   44
  260,20160522,    2
  260,20160523,    1
  260,20160524,   15
  260,20160525,    2
  260,20160526,   68
  260,20160527,   71
  260,20160528,   73
  260,20160529,   18
  260,20160530,    0
  260,20160531,   67
  260,20160601,   57
  260,20160602,    0
  260,20160603,   35
  260,20160604,   81
  260,20160605,  150
  260,20160606,  146
  260,20160607,   81
  260,20160608,   64
  260,20160609,  150
  260,20160610,   81
  260,20160611,   28
  260,20160612,    8
  260,20160613,   14
  260,20160614,   21
  260,20160615,   39
  260,20160616,   77
  260,20160617,   23
  260,20160618,   47
  260,20160619,   63
  260,20160620,    2
  260,20160621,   18
  260,20160622,   97
